document_id,token_index,sentence_index,paragraph_index,token_text,lemma,pos,domain_class,character_offset,normalized_position,mean_delta_z,median_delta_z,std_delta_z,mean_abs_delta_z,clean_transition_rate,standard_error,ci95_low,ci95_high,n_trials,status
cli_input,351,7,0,discipline,discipline,NN,general,926,0.9722991689750693,-0.17233719180676652,-0.1801272254667894,0.09559299264566724,0.17233719180676652,1.0,0.04275048594566988,-0.25612814426027947,-0.08854623935325355,5,valid
cli_input,85,1,0,requirement,requirement,NN,biomedical,246,0.32075471698113206,-0.32579279787752224,-0.402112379330383,0.12488803310746392,0.32579279787752224,1.0,0.055851626320906726,-0.4352619854664994,-0.21632361028854508,5,valid
cli_input,91,1,0,brisk,brisk,JJ,biomedical,272,0.3433962264150943,-0.06920782282563025,-0.14438286840404035,0.12159182074863412,0.11656047932413813,1.0,0.05437751534038305,-0.17578775289278104,0.03737210724152053,5,valid
cli_input,124,1,0,requirement,requirement,NN,biomedical,380,0.4679245283018868,-0.007457265091987897,0.03560451501208095,0.13806099581352982,0.09344106863714849,1.0,0.061742754336073305,-0.12847306359069158,0.11355853340671578,5,valid
cli_input,137,2,0,reach,reach,VB,biomedical,417,0.5169811320754717,-0.35270885250874795,-0.300577316450401,0.15547007803710244,0.35270885250874795,1.0,0.06952833259163162,-0.4889843843883459,-0.21643332062915,5,valid
cli_input,263,4,0,necessity,necessity,NN,biomedical,775,0.9924528301886792,-0.2080033365549025,-0.2090971257576848,0.0024457870104765554,0.2080033365549025,1.0,0.0010937892027823137,-0.21014716339235584,-0.20585950971744915,5,valid
cli_input,14,0,0,demand,demand,NN,general,41,0.0374331550802139,-0.2842436700448368,-0.38288233716111386,0.1406176270613017,0.2842436700448368,0.6,0.06288611458875693,-0.40750045463880036,-0.16098688545087325,5,valid
cli_input,18,0,0,probing,probe,VBG,general,56,0.0481283422459893,-0.07438440677808238,-0.10578281298665693,0.15444937104835155,0.14366272475763875,0.0,0.0690718585492404,-0.20976524953459358,0.06099643597842881,5,valid
cli_input,24,0,0,sector,sector,NN,general,77,0.06417112299465241,-0.10418627419871189,-0.13500700104540342,0.04493177311306285,0.10418627419871189,0.0,0.020094099806081175,-0.143570709818631,-0.06480183857879279,5,valid
cli_input,117,2,0,basis,basis,NN,general,310,0.31283422459893045,-0.14003305871347024,-0.143760756720416,0.03375349303775864,0.14003305871347024,0.0,0.015095020982098837,-0.16961929983838397,-0.11044681758855653,5,valid
cli_input,182,4,0,scrutinize,scrutinize,VB,general,482,0.48663101604278075,-0.22817335064790684,-0.23172451749139356,0.10109463093050403,0.22817335064790684,0.0,0.04521089338417196,-0.31678670168088385,-0.1395599996149298,5,valid
cli_input,188,4,0,sector,sector,NN,general,506,0.5026737967914439,-0.2656697765755315,-0.25594804561122597,0.06339060469605093,0.2656697765755315,0.2,0.02834914024703745,-0.32123409145972487,-0.2101054616913381,5,valid
